Country,Year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score
Kazakhstan,1992,EFConsTotGHA,448873.53,122526579.36,34732466.82,324403.24,184944.41,4358785.38,162576052.75,2A
Kazakhstan,1993,EFConsTotGHA,330729.49,98864419.1,15648897.03,276648.16,102814.04,6610840.39,121834348.21,2A
Kazakhstan,1994,EFConsTotGHA,257130.17,95712774.45,14017761.75,252337.73,136084.26,3723040.31,114099128.67,2A
Kazakhstan,1995,EFConsTotGHA,157843.66,87920853.04,0,268253.71,138040.21,3217750.08,91702740.71,2A
Kazakhstan,1996,EFConsTotGHA,183045.92,58746893.31,4710015.22,276046.71,514925.18,4604489.55,69035415.88,2A
Kazakhstan,1997,EFConsTotGHA,192750.27,55143451.2,6610091.72,225974.67,459329.69,2553781.36,65185378.92,2A
Kazakhstan,1998,EFConsTotGHA,120196.87,40792621.67,0,216312.88,204707.68,2925957.26,44259796.35,2A
Kazakhstan,1999,EFConsTotGHA,227646.14,22578537.28,20160088.46,285436.67,467590.03,785183.6,44504482.18,2A
Kazakhstan,2000,EFConsTotGHA,207509.75,25970163.9,0,229020.62,284990.86,1135078.85,27826763.97,2A
Kazakhstan,2001,EFConsTotGHA,284418.87,31976637.44,20832175.84,179731.25,318506.18,1415613.94,55007083.53,2A
Kazakhstan,2002,EFConsTotGHA,294979.94,35383677.14,14039109.98,164359.77,679499.78,1396232,51957858.63,2A
Kazakhstan,2003,EFConsTotGHA,283232.76,44580979.47,7023003.24,150982.88,762140.14,1671318.09,54471656.59,2A
Kazakhstan,2004,EFConsTotGHA,257930.4,45578879.21,7282408.63,183100.8,1238727.22,1627787.6,56168833.85,2A
Kazakhstan,2005,EFConsTotGHA,280458.77,50339010.97,15223275.72,246074.72,1663532.57,1921569.26,69673922,2A
Kazakhstan,2006,EFConsTotGHA,311363.68,57832637.65,11907280.8,268897.72,1693571.34,2150061.87,74163813.05,2A
Kazakhstan,2007,EFConsTotGHA,353207.28,65742234.28,12890541.46,332637.4,2114901.33,2430660.38,83864182.13,2A
Kazakhstan,2008,EFConsTotGHA,292046.54,76579555.56,0,576385.09,1311151.81,2509603.84,81268742.83,2A
Kazakhstan,2009,EFConsTotGHA,377967.23,64692356.16,16335260.86,360423.47,1043119.54,2394215.79,85203343.05,2A
Kazakhstan,2010,EFConsTotGHA,263440.38,71732544.92,623491.76,441785.71,1173275.65,3666705.57,77901243.99,2A
Kazakhstan,2011,EFConsTotGHA,466003.71,77198330.23,32518000.91,415387.23,1551786.97,2698717.69,114848226.74,2A
Kazakhstan,2012,EFConsTotGHA,289515.77,77322559.87,0,408087.36,1411044.52,4057227.29,83488434.82,2A
Kazakhstan,2013,EFConsTotGHA,374599.98,85468328.77,8737316.75,417479.9,1222520.38,3010684,99230929.79,2A
Kazakhstan,2014,EFConsTotGHA,368983.91,65079560.38,6927491.33,349282.48,1306824.9,3044404.8,77076547.8,2A
Kazakhstan,2015,EFConsTotGHA,398867.47,55803148.3,13218800.62,388060.87,1303435.8,3153111.29,74265424.34,2A
Kazakhstan,2016,EFConsTotGHA,440121.39,58408712.82,13032737.27,363408.42,1302079.96,2707948.84,76255008.7,2A
Kazakhstan,2017,EFConsTotGHA,456646.39,62464441.92,13522266.03,391118.3,1297711.68,3052678.96,81184863.29,2A
Kazakhstan,2018,EFConsTotGHA,465013.67,64787486.16,5881310.35,334009.68,1113995.76,3707269.68,76289085.3,2A
Kazakhstan,2019,EFConsTotGHA,434139.39,62302130.33,0,406116.89,1271784.97,5557462.48,69971634.06,2A
Kazakhstan,2020,EFConsTotGHA,480260.77,59480687.63,11406005.55,379487.45,1381963.29,5426856.27,78555260.96,2A
Kazakhstan,2021,EFConsTotGHA,485843.15,62428136.14,11406177.04,379487.45,1381963.29,5426842.03,81508449.1,2A
Kazakhstan,2022,EFConsTotGHA,491216.43,64213062.17,11406177.04,379487.45,1381963.29,5426842.03,83298748.41,2A
